@relation NSP
@attribute 'a' numeric
@attribute 'b' numeric
@attribute 'c' numeric
@attribute 'd' numeric
@attribute 'e' numeric
@attribute 'f' numeric

@attribute 'class' { 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@data
0,49,60.2864558,24.6896963,0.00113487,0.08381939,1
0,50,60.2649913,24.4864685,0.00113487,0.08381939,10
0,50,60.2655055939,24.4856647775,0.00113487,0.08381939,10
0,32,60.2751106814,24.7768155311,0.00113487,0.08381939,1
0,33,60.3710798046,24.942651563,0.00113487,0.08381939,1
0,33,60.3714712,24.9410533,0.00113487,0.08381939,1
0,34,60.4462933458,24.6937252226,0.00113487,0.08381939,11
0,34,60.4470568,24.6927876,0.00113487,0.08381939,11
0,35,60.2993682,25.2441504,0.00113487,0.08381939,2
0,35,60.3002363271,25.2441053147,0.00113487,0.08381939,2
0,37,60.2324749,24.9722249,0.00113487,0.08381939,3
0,38,60.2622972195,24.8712097472,0.00113487,0.08381939,11
0,38,60.2616657,24.8705524,0.00113487,0.08381939,11
0,39,60.2420024,24.348568,0.00113487,0.08381939,4
0,39,60.24189,24.3502953862,0.00113487,0.08381939,4
0,40,60.2144328423,24.4467984203,0.00113487,0.08381939,5
0,40,60.2148062,24.4476352,0.00113487,0.08381939,5
0,41,60.3424914,25.246303,0.00113487,0.08381939,6
0,42,60.353362,24.7263496,0.00113487,0.08381939,3
0,42,60.3533268312,24.7281022452,0.00113487,0.08381939,3
0,43,60.2355754526,24.846995334,0.00113487,0.08381939,7
0,43,60.2364633,24.8472322,0.00113487,0.08381939,7
0,44,60.2805876717,24.7972365952,0.00113487,0.08381939,7
0,44,60.2811886,24.795905,0.00113487,0.08381939,7
0,45,60.257835,24.7743738,0.00113487,0.08381939,2
0,45,60.2586285674,24.7750564184,0.00113487,0.08381939,2
0,46,60.2378897406,25.1207613923,0.00113487,0.08381939,8
0,46,60.2381313,25.1219677,0.00113487,0.08381939,8
0,47,60.231226,24.4532002,0.00113487,0.08381939,8
0,48,60.2332687441,25.1672497138,0.00113487,0.08381939,3
0,48,60.2341145,25.1676192,0.00113487,0.08381939,3
0,1,60.2546543142,25.2998946605,0.00113487,0.08381939,1
0,2,60.3590917,24.4443044,0.00113487,0.08381939,1
0,2,60.3597657257,24.4431175348,0.00113487,0.08381939,1
0,1,60.2540368,25.3011032,0.00113487,0.08381939,1
0,4,60.202932,24.4937568,0.00113487,0.08381939,7
0,4,60.2037824036,24.4932067765,0.00113487,0.08381939,7
0,5,60.2132141005,24.6043467504,0.00113487,0.08381939,1
0,5,60.212407,24.6036704,0.00113487,0.08381939,7
0,6,60.3470003,24.6260882,0.00113487,0.08381939,9
0,6,60.34738,24.6276606379,0.00113487,0.08381939,9
0,7,60.2499937,24.3673468,0.00113487,0.08381939,6
0,8,60.2966212,24.7206606,0.00113487,0.08381939,10
0,8,60.2968012812,24.7189084694,0.00113487,0.08381939,10
0,9,60.2429455,24.734286,0.00113487,0.08381939,10
0,9,60.2421290485,24.7347780299,0.00113487,0.08381939,10
0,10,60.2619886459,25.0892238681,0.00113487,0.08381939,3
0,10,60.2627867,25.0887273,0.00113487,0.08381939,3
0,11,60.1842166,25.150528,0.00113487,0.08381939,11
0,11,60.1849443946,25.1501243946,0.00113487,0.08381939,11
0,12,60.3274507,24.9473634,0.00113487,0.08381939,10
0,13,60.2335752,24.6205545,0.00113487,0.08381939,8
0,16,60.3149811253,24.8977522558,0.00113487,0.08381939,9
0,17,60.3111113,24.4630084,0.00113487,0.08381939,7
0,17,60.3117446214,24.4617402159,0.00113487,0.08381939,7
0,18,60.397912,24.5827213,0.00113487,0.08381939,11
0,18,60.3972618285,24.5815954571,0.00113487,0.08381939,11
0,19,60.2445800044,24.963632667,0.00113487,0.08381939,7
0,19,60.2441921,24.9640675,0.00113487,0.08381939,7
0,16,60.3143678,24.8964313,0.00113487,0.08381939,11
0,20,60.164869,24.6655547,0.00113487,0.08381939,11
0,20,60.1640755778,24.6663815873,0.00113487,0.08381939,11
0,21,60.2540954,24.7920673,0.00113487,0.08381939,12
0,22,60.3041576,25.1585637,0.00113487,0.08381939,5
0,22,60.3032868075,25.1586688404,0.00113487,0.08381939,5
0,23,60.138294,24.5566447,0.00113487,0.08381939,1
0,23,60.1384963148,24.5549057961,0.00113487,0.08381939,1
0,24,60.3213225,25.1435308,0.00113487,0.08381939,6
0,25,60.2666699,24.7324585,0.00113487,0.08381939,7
0,25,60.2668640252,24.7336210378,0.00113487,0.08381939,7
0,26,60.3178203,25.1668016,0.00113487,0.08381939,11
0,26,60.3170242415,25.1659721208,0.00113487,0.08381939,11
0,27,60.2089975,24.9989631,0.00113487,0.08381939,9
0,27,60.2084128213,24.9976086593,0.00113487,0.08381939,9
0,28,60.4374195,24.9847156,0.00113487,0.08381939,11
0,28,60.4378669222,24.9831463879,0.00113487,0.08381939,11
0,29,60.3846671,25.0268362,0.00113487,0.08381939,8
0,29,60.3837796306,25.0269023231,0.00113487,0.08381939,8
0,30,60.3613485,24.8300076,0.00113487,0.08381939,7
0,31,60.1974373,24.6814916,0.00113487,0.08381939,3
0,31,60.1977608087,24.6827483067,0.00113487,0.08381939,3
0,32,60.2757179,24.7755476,0.00113487,0.08381939,11
1,21,60.2540954,24.7920673,0.09253979,0.00396824,12
1,24,60.3213225,25.1435308,0.00102711,0.00038338,6
1,30,60.3613485,24.8300076,0.00038338,0.31049156,7
1,37,60.2324749,24.9722249,0.00400066,0.00118446,3
1,41,60.3424914,25.246303,0.09253979,0.00046062,6
1,47,60.231226,24.4532002,0.00122643,0.00418854,8
1,49,60.2864558,24.6896963,0.02894211,0.1327095,1
1,7,60.2499937,24.3673468,0.09253979,0.00395679,6
1,12,60.3274507,24.9473634,0.00404358,0.00376034,10
1,13,60.2335752,24.6205545,0.00117111,0.00423145,8
2,7,60.2499937,24.3673468,0.09428596,0.00395679,6
2,12,60.3274507,24.9473634,0.00404358,0.00376034,10
2,13,60.2335752,24.6205545,0.00117111,0.00423145,8
2,37,60.2324749,24.9722249,0.00400066,0.00118446,3
2,41,60.3424914,25.246303,0.09428596,0.00046062,6
2,47,60.231226,24.4532002,0.00122643,0.00418854,8
2,21,60.2540954,24.7920673,0.09428596,0.00396824,12
2,24,60.3213225,25.1435308,0.00102711,0.00038338,6
2,30,60.3613485,24.8300076,0.00038338,0.31049156,7
2,49,60.2864558,24.6896963,0.02894211,0.1327095,1
3,49,60.2864558,24.6896963,0.02894211,0.1327095,1
3,37,60.2324749,24.9722249,0.00400066,0.00118446,3
3,41,60.3424914,25.246303,0.09555531,0.00046062,6
3,47,60.231226,24.4532002,0.00122643,0.00418854,8
3,7,60.2499937,24.3673468,0.09555531,0.00395679,6
3,12,60.3274507,24.9473634,0.00404358,0.00376034,10
3,13,60.2335752,24.6205545,0.00117111,0.00423145,8
3,21,60.2540954,24.7920673,0.09555531,0.00396824,12
3,24,60.3213225,25.1435308,0.00102711,0.00038338,6
3,30,60.3613485,24.8300076,0.00038338,0.31049156,7
4,21,60.2540954,24.7920673,0.09358883,0.00396824,1
4,24,60.3213225,25.1435308,0.00102711,0.00038338,6
4,30,60.3613485,24.8300076,0.00038338,0.31049156,7
4,37,60.2324749,24.9722249,0.00400066,0.00118446,3
4,41,60.3424914,25.246303,0.09358883,0.00046062,6
4,47,60.231226,24.4532002,0.00122643,0.00418854,8
4,49,60.2864558,24.6896963,0.02894211,0.1327095,1
4,7,60.2499937,24.3673468,0.09358883,0.00395679,6
4,12,60.3274507,24.9473634,0.00404358,0.00376034,12
4,13,60.2335752,24.6205545,0.00117111,0.00423145,8
5,7,60.2499937,24.3673468,0.09448242,0.00395679,6
5,12,60.3274507,24.9473634,0.00404358,0.00376034,12
5,13,60.2335752,24.6205545,0.00117111,0.00423145,8
5,37,60.2324749,24.9722249,0.00400066,0.00118446,3
5,41,60.3424914,25.246303,0.09448242,0.00046062,6
5,47,60.231226,24.4532002,0.00122643,0.00418854,8
5,21,60.2540954,24.7920673,0.09448242,0.00396824,11
5,24,60.3213225,25.1435308,0.00102711,0.00038338,6
5,30,60.3613485,24.8300076,0.00038338,0.31049156,7
5,49,60.2864558,24.6896963,0.02894211,0.1327095,1
5.6049023225,29,60.3836087011,25.0254756999,0.00102711,0.00059891,8
6,21,60.2540954,24.7920673,0.09235382,0.00396824,1
6,24,60.3213225,25.1435308,0.00102711,0.00038338,6
6,30,60.3613485,24.8300076,0.00038338,0.31049156,7
6,37,60.2324749,24.9722249,0.00400066,0.00118446,11
6,41,60.3424914,25.246303,0.09235382,0.00046062,6
6,47,60.231226,24.4532002,0.00122643,0.00418854,8
6,7,60.2499937,24.3673468,0.09235382,0.00395679,6
6,12,60.3274507,24.9473634,0.00404358,0.00376034,12
6,13,60.2335752,24.6205545,0.00117111,0.00423145,8
6,49,60.2864558,24.6896963,0.02894211,0.1327095,1
6.5185817713,32,60.2743300929,24.777481641,0.0011549,0.10888577,11
6.7622108228,35,60.30105779,25.24483186,0.0961504,0.00133133,2
7,37,60.2324749,24.9722249,0.00400066,0.00118446,11
7,41,60.3424914,25.246303,0.0961504,0.00046062,6
7,47,60.231226,24.4532002,0.00122643,0.00418854,8
7,21,60.2540954,24.7920673,0.0961504,0.00396824,1
7,24,60.3213225,25.1435308,0.00102711,0.00038338,6
7,30,60.3613485,24.8300076,0.00038338,0.31049156,7
7,49,60.2864558,24.6896963,0.02894211,0.1327095,1
7,7,60.2499937,24.3673468,0.0961504,0.00395679,6
7,12,60.3274507,24.9473634,0.00404358,0.00376034,12
7,13,60.2335752,24.6205545,0.00117111,0.00423145,8
7.3767581494,6,60.3473329941,24.6294274854,0.0007925,0.03594208,9
7.6930300697,31,60.1984096272,24.6839981437,0.00433445,0.00282097,3
7.8437679553,33,60.370845179,24.9444054652,0.0941782,0.09727955,1
8,37,60.2324749,24.9722249,0.00400066,0.00118446,11
8,41,60.3424914,25.246303,0.0941782,0.00046062,6
8,47,60.231226,24.4532002,0.00122643,0.00418854,8
8,21,60.2540954,24.7920673,0.0941782,0.00396824,1
8,24,60.3213225,25.1435308,0.00102711,0.00038338,6
8,30,60.3613485,24.8300076,0.00038338,0.31049156,7
8,7,60.2499937,24.3673468,0.0941782,0.00395679,6
8,12,60.3274507,24.9473634,0.00404358,0.00376034,12
8,13,60.2335752,24.6205545,0.00117111,0.00423145,8
8,49,60.2864558,24.6896963,0.02894211,0.1327095,1
8,49,60.2864558,24.6896963,0.02894211,0.1327095,1
8.4357815654,23,60.1390609782,24.5535449408,0.00199699,0.15868092,1
9,21,60.2540954,24.7920673,0.0940609,0.00396824,1
